ExperimentName,subject,Session,Procedure,Trial,Directed,I_NMG_ZScorePrime,I_NMG_ZscoreTarget,I_ZScorePrime,I_ZScoreTarget,ItemNumber,LogHalPrime,LogHalTarget,LogP,MeanLDTZ,MeanLength,MeanLogF,MeanNMGZ,pathlength,prime_word,Stimuli1,target_word,TargetResponse.RESP[Trial],TargetResponse.RT[Trial],Undirected,TargetAccuracy,RTRecogniseTarget
NetworksDemasking_SingleListLongDurations,35,1,S1,84,2,-0.309,-0.435,-0.17,-0.586,A224,7.789,9.896,11.306821,-0.378,6.5,8.8425,-0.372,2,MAFIA,224,VIOLENCE,violence{SPACE},1236,2,1,1569
NetworksDemasking_SingleListLongDurations,35,1,S1,224,1,-0.482,-0.366,-0.515,-0.565,A225,8.443,10.101,5.149747,-0.54,6.5,9.272,-0.424,1,BACTERIA,225,VIRUS,virus{SPACE},719,1,1,1450
NetworksDemasking_SingleListLongDurations,35,1,S1,218,6,-0.209,-0.144,-0.273,-0.276,A247,9.793,5.642,28.363614,-0.2745,8.5,7.7175,-0.1765,15,REPUBLICAN,226,CONVENT,convent{SPACE},3045,4,1,1939
NetworksDemasking_SingleListLongDurations,35,1,S1,216,3,-0.049,-0.411,-0.196,-0.748,A227,6.946,11.312,13.811296,-0.472,5.5,9.129,-0.23,2,MARROW,227,VOICE,voice{SPACE},692,3,1,1454
NetworksDemasking_SingleListLongDurations,35,1,S1,60,5,-0.943,-0.55,-0.621,-0.487,A228,11.677,8.024,20.554983,-0.554,6,9.8505,-0.7465,15,OFTEN,228,VOLCANO,volcano{SPACE},1999,4,1,1066
NetworksDemasking_SingleListLongDurations,35,1,S1,112,3,-0.527,-0.319,-0.265,-0.481,A229,6.599,7.733,17.721453,-0.373,5.5,7.166,-0.423,15,GRATE,229,VOYAGE,voyage{SPACE},1828,3,1,1804
NetworksDemasking_SingleListLongDurations,35,1,S1,57,5,-0.211,-0.712,0.031,-0.504,A230,5.193,9.216,22.478625,-0.2365,5,7.2045,-0.4615,4,ABDUCT,230,WAGE,wage{SPACE},954,3,1,1610
NetworksDemasking_SingleListLongDurations,35,1,S1,88,2,-0.007,-0.309,-0.575,-0.13,A231,8.355,6.717,10.45304,-0.3525,7,7.536,-0.158,1,SLEEVE,231,WARDROBE,wardrobe{SPACE},1151,2,1,1731
NetworksDemasking_SingleListLongDurations,35,1,S1,186,4,-0.168,-0.675,-0.109,-0.437,A232,8.731,5.412,17.041653,-0.273,7.5,7.0715,-0.4215,15,CONCENTRATE,232,WART,wart{SPACE},514,3,1,1584
NetworksDemasking_SingleListLongDurations,35,1,S1,169,Inf,-0.547,-0.595,-0.658,-0.491,A233,9.119,6.707,Inf,-0.5745,7,7.913,-0.571,15,RAPID,233,WATERFALL,waterfall{SPACE},1256,2,1,2091
